a	b	c	d	e	f	g	h
001459	001817	002289	003008	003350	005009	005551	005584
007033	007499	008062	008150	008589	008639	010076	010139
010992	012794	013561	014217	015178	015469	015534	016214
017289	017439	018723	019652	020539	021623	021689	022458
023157	023330	023447	024755	024817	025107	025609	026432
026531	027400	027938	028211	029231	029323	029357	030079
030617	030665	030842	031962	032322	032637	032745	033992
034253	034638	034766	035113	035284	035453	035504	035618
035733	035914	037728	037733	037751	038218	038427	039109
041179	041231	042281	043138	044332	044348	045240	046362
047660	048872	049088	049406	050444	051152	051323	052392
053659	053934	055051	055310	055628	056559	056916	057090
057636	058225	058450	059068	059273	059905	060214	060228
062124	062328	063299	063541	064062	064326	064487	064782
064891	065824	066192	066225	068136	068950	069569	069621
069883	071200	072008	072046	072347	072723	073072	073318
073763	074468	075942	076475	076679	077730	079122	081246
081589	081741	082502	083217	083399	083467	083510	084162
084737	085099	085920	087502	087869	088238	090189	090414
092108	092199	093625	094219	096179	096866	097428	097823
097897	098158	098471	098489	100240	101160	101423	101588
101700	101803	102563	102698	103645	103662	104621	105152
105587	106053	108319	108393	108492	108957	109817	109924
109949	110679	112534	113536	114253	116588	116777	116832
117681	117934	118492	118576	120130	120372	120796	120882
122019	122790	123472	123616	124123	126733	127053	127066
127762	128719	129070	129632	130451	130451	130882	131510
132075	132479	132912	133295	133551	134215	134394	134818
135351	135496	136651	136940	137031	137703	137856	137902
138188	139044	140074	141184	141471	141637	141894	141963
141979	142031	142345	142931	143961	144546	144557	144763
144898	145076	145465	146456	147555	148368	150432	151139
152109	152333	152926	152956	153671	154201	154784	155527
156042	156409	156787	157562	157960	158805	160965	161148
161307	161601	161983	162326	162539	163094	163206	163343
165818	166673	166849	168470	168644	16555	170333	170546
170767	170878	171358	173358	173858	174464	174650	174854
175824	175991	176334	176766	177322	177518	178034	179190
179433	180394	180480	180783	181205	181323	182012	182092
182361	182650	183521	183642	183832	184007	184124	184175
185163	185662	185708	187705	188510	188892	188998	189663
189808	190051	190240	190307	190354	191023	191440	191634
192300	193274	196387	198629	199245	201724	201819	201898
202260	203021	203847	203948	205061	205227	205241	206009
206169	207247	207589	207878	208555	209087	209832	211194
211391	211501	211670	212929	212968	213322	213765	214530
214865	214960	217016	217787	220617	220985	222750	223247
224466	226289	226413	226679	229146	229817	229835	230287
231301	231376	232357	232509	233887	234076	234078	234289
235312	235346	235477	236354	236879	237620	240139	241827
242293	244637	244869	245487	246259	246525	248331	248355
249574	249682	253883	254029	254253	254457	254593	254631
254933	255365	255944	256026	257360	257585	257820	258241
258662	260200	260206	260715	260821	261236	261509	262461
262583	262700	263061	264574	265547	265595	265674	267068
267168	267203	268246	268822	270270	270346	270423	270514
270533	270607	271556	272853	274152	274419	275017	275854
276864	277182	277272	277335	277874	279180	279344	279547
280019	280764	281269	281351	281596	281793	282263	282265
282333	282880	284205	284514	285607	286406	286533	287676
288698	288964	289502	290830	290888	291692	292059	292784
292820	294419	294629	296302	297761	297952	297960	298340
298650	300624	301145	303075	305373	305525	305705	306644
306650	307478	307687	308910	309380	309688	310456	311222
312350	312421	312572	312712	313275	313731	314173	314866
315643	316037	316225	317534	318048	318065	318179	318907
319796	320298	321061	321131	321984	322526	323396	324348
324354	325902	326809	327157	327830	327929	328436	329089
329267	330512	331014	331538	331817	332722	333289	333666
333806	333840	333890	334017	334182	335182	335220	336004
336297	336896	337075	337133	337241	338080	338187	338854
338990	339315	339823	340438	340804	341647	344308	344694
344723	344727	344743	344790	344930	345871	345997	346046
347704	348421	348994	350168	350303	350388	350953	351340
351990	354305	354629	354735	355015	355044	355477	355521
355543	355880	357249	357692	361688	362167	362176	363256
363700	364537	365040	365048	365167	367423	367940	369226
369435	370046	370856	370996	371025	371179	371237	372185
372305	373292	374576	375059	375848	376079	376272	376935
377317	378003	379268	380858	381453	381990	382556	383636
383989	385069	385271	387225	387249	388067	388270	390016
392385	392516	392774	392967	394045	394736	394822	395245
395519	395801	396910	399639	400297	400466	400616	401657
401691	401848	402614	402616	402867	403083	403335	404197
404629	405644	405981	406335	408772	409115	409825	410534
410784	410907	411014	411312	411869	415060	415383	415995
417201	417427	417792	419043	419074	419535	419938	420893
420990	421320	422090	422473	422903	423225	423509	423628
423869	424013	424333	424438	424761	424884	425019	425906
426216	426617	426968	426973	428323	428688	429437	430676
430819	431346	432032	432893	433277	433366	434974	435348
435644	435824	436517	436808	437622	438340	438392	438854
439925	441346	441869	442486	442767	443545	444449	445002
445061	445804	448657	448949	451771	451978	453042	455269
455486	455506	456552	456972	459329	459672	459718	460229
460300	460574	462431	462691	464083	464103	464390	464440
464541	466017	466561	469061	469400	469432	471335	471761
471835	472870	472962	473241	473736	473997	474030	474090
474814	474960	474980	475217	475322	475653	475900	476201
476370	476931	477102	480087	480349	480628	481222	481838
482306	484000	484939	485324	486883	486934	489185	489987
490117	490734	491922	492046	492213	492379	493186	493916
494797	495119	496327	496935	497635	497876	498573	498732
498741	499724	499784	499903	500489	500505	501062	503049
503482	503783	504987	505567	505716	507137	507617	509005
509106	509659	509755	510210	510244	511047	512152	512305
512439	512761	513435	514534	515022	515267	515696	516615
517021	517099	517303	518554	519114	519340	519788	520164
520376	521332	521347	522129	522285	522310	523453	524271
525965	526187	526966	527339	527788	528134	528206	529101
529129	529511	529970	530962	531873	532019	532746	533176
533883	534254	534273	535034	535641	536168	537987	538348
538597	539775	540433	540787	541194	541234	541753	542678
543047	543362	544150	544255	544708	544903	544932	545172
545410	546420	546441	547868	548396	548655	549135	549615
549640	549805	552054	552803	552889	553229	553278	554378
554486	554977	558234	559859	561166	561172	561174	561271
561612	562108	562487	562889	563204	565945	566918	567732
568383	569596	569901	570257	571176	573320	573783	573875
574920	575532	575612	576122	576198	576958	577170	577799
577939	578137	578187	578346	578557	578612	580836	581044
582142	583275	583577	584325	584611	585187	585289	587985
588265	588306	588428	589001	589511	589670	590143	590280
590380	590428	591044	591130	592935	592948	593575	594871
595106	595493	596059	596169	596676	597229	597445	597722
600178	601419	601655	602193	602936	603382	605362	605462
605914	605937	606109	606288	606946	608288	608544	609144
609459	609919	610632	611509	612072	612465	613329	614567
615644	616413	616670	617281	617851	618255	618534	618563
618613	618646	619978	620009	620277	620528	621364	621517
622542	622571	623518	624192	625156	625317	625462	625748
625767	626948	627565	627865	627908	628033	628436	628473
628625	628762	630516	631528	631648	631659	632071	632239
632474	633087	634879	635252	635527	635883	637218	637516
637861	638044	638191	638508	638715	640659	641065	641197
641386	641551	642096	643115	643441	645885	645948	646058
646908	647176	649406	650181	650642	651479	654227	654513
654768	655250	655808	656323	656465	656784	657335	658459
658906	659119	660575	661508	662351	663001	664452	664501
664625	664967	666242	668663	668741	669219	670759	671023
671316	671540	671761	671854	672721	673813	674253	674933
677134	678852	679150	679207	679272	680462	680508	681066
681190	681757	681930	682455	682492	682763	683107	683205
683865	683913	684082	684338	685753	686445	686592	687252
687796	688168	689872	690377	691228	691432	691625	692171
693024	693151	695186	695681	696253	696364	696833	697112
697567	698146	698649	698886	700331	701597	703084	703098
703393	703530	704234	705294	706262	707623	710267	710933
711572	712837	713496	714051	714672	714928	715087	715395
716859	717624	717727	717868	718828	719356	719662	719842
721018	721622	722496	723097	723402	723822	724567	724859
725830	726314	726495	726645	726670	726751	726768	726895
726944	727232	728334	729492	731357	731987	732282	732490
733091	733479	734394	735048	735288	736111	737597	738002
739455	739487	739559	739730	739854	740256	742053	742582
743641	743746	744063	744187	745047	745468	746445	746883
747335	748226	748658	749185	749289	749367	749774	749828
751089	751481	751632	751777	751808	751935	752275	752692
753271	754791	754811	755183	756783	757579	758595	761128
762505	762695	762858	763182	763733	763741	763838	764372
764533	765541	765572	766488	766540	767020	767382	768107
768290	768797	769925	770272	771435	771627	772317	773185
773562	773584	774182	774200	775465	775799	775985	776513
776819	777534	777550	777720	779617	779737	781078	783700
786020	786376	786934	787588	787676	788169	788480	788924
789868	790329	790917	791484	793098	793307	794558	794826
795065	795801	795862	796173	797055	797816	799034	799145
799838	799852	800750	800836	801026	801033	805396	805424
805542	805696	805801	805940	806285	806416	806603	807116
807155	807408	807544	807578	808801	809586	811633	811902
812230	813036	813267	813625	813748	814499	814809	815792
817301	817352	818269	818529	818625	818870	819382	819502
819533	819546	819656	821205	821779	821781	821905	822396
822461	822891	822969	824007	824891	825770	825842	827747
827782	828384	828495	828608	829286	829336	829803	830025
830759	831278	831456	831760	831816	831939	832458	832577
832877	832938	833154	834810	835252	835515	836700	838926
839814	839996	840265	840533	840802	840971	841396	841965
842012	842060	842092	842589	842831	842874	843318	843350
844143	844782	844976	845426	846049	846484	846820	847109
847356	847661	850280	850806	851044	851092	851201	851597
853552	853854	854837	855425	855522	856421	857366	857552
857846	859030	859306	861042	861171	861335	862090	863988
865535	865596	866719	867069	867385	867574	867672	868031
868489	868630	870830	871305	872375	872953	873317	874254
874268	874754	875269	876294	876393	876771	876971	877702
878188	878326	880161	882447	882553	883037	883112	883339
884592	886651	886810	887067	888065	888676	889205	889378
890291	890565	890647	890650	890681	891203	891245	891705
891775	891775	892290	892505	892700	892952	893898	894035
894205	894277	894345	894810	894859	894879	894922	895045
895472	895509	895768	896026	897461	898344	898931	899165
899470	899949	901942	902454	903607	903647	904308	905285
906438	906786	906862	907286	907388	907457	908426	908791
908917	909005	909140	909394	909457	910713	911102	911256
912005	912229	913148	913180	914173	914217	915599	916247
916439	918650	918660	919534	920247	920575	920618	921217
921354	921404	921459	921490	923512	924217	924714	925032
926045	926134	926167	926540	926705	928294	929033	929490
931067	932218	932542	933975	935967	936787	937516	937633
938146	938502	939355	939612	939850	940358	941139	941698
942190	943247	943836	944503	944508	945274	946152	946367
946756	947580	947706	949466	949611	949811	950165	951792
951831	952493	953269	954042	954862	956068	956967	957027
957123	957877	957921	959434	960524	960546	960610	962274
962538	963640	964067	964202	964240	965717	965820	967742
967895	968360	968663	968931	969760	972214	972273	974253
974318	974488	974761	975108	977101	977930	979434	981269
982152	983530	983657	984678	986202	987447	988209	988235
988468	988630	991747	992216	992829	992919	993466	993607
993927	994086	995206	996513	996645	996669	996677	997640
998468	998819